ID,num_lx,num_rx,DeltaSZ,DeltaSP,dNum,resp,acc,RT,Group,DeltaNB
104,11,9,0,0.333333333,0.333333333,0,1,3.089258066,4yo,-0.289506617
104,8,32,0.666666667,-1.333333333,2,1,1,1.324148441,4yo,2
104,20,14,0.5,0.5,0.5,0,1,1.283828722,4yo,-0.514573173
104,16,11,-0.166666667,0.5,0.5,1,0,1.607930985,4yo,-0.540568381
104,10,14,0.833333333,0.166666667,0.5,1,1,1.114424768,4yo,0.485426827
104,20,23,0.166666667,-1.833333333,0.166666667,0,0,1.60132787,4yo,0.201633861
104,14,16,-1.833333333,-0.166666667,0.166666667,1,1,1.637084875,4yo,0.192645078
104,18,25,-1.166666667,-1.5,0.5,0,0,1.140663076,4yo,0.473931188
104,8,32,-0.666666667,-0.333333333,2,1,1,1.32257187,4yo,2
104,13,10,-1.333333333,1.333333333,0.333333333,1,0,17.56216936,4yo,-0.378511623
104,18,23,-1.666666667,-0.666666667,0.333333333,1,1,0.974821147,4yo,0.353636955
104,11,13,-0.5,1.5,0.166666667,1,1,0.77074093,4yo,0.2410081
104,32,8,1,0.666666667,2,0,1,1.218515071,4yo,-2
104,8,11,0.833333333,-0.166666667,0.5,1,1,9.437395644,4yo,0.459431619
104,32,8,1.666666667,-0.333333333,2,0,1,3.39549872,4yo,-2
104,13,10,-1.333333333,1,0.333333333,1,0,3.649788778,4yo,-0.378511623
104,11,10,-1.5,-1.166666667,0.166666667,0,1,3.951942037,4yo,-0.137503524
104,13,10,1.333333333,-1,0.333333333,1,0,2.014913196,4yo,-0.378511623
104,25,20,0.333333333,-2,0.333333333,1,0,2.023079622,4yo,-0.321928095
104,8,9,-1.166666667,1.166666667,0.166666667,1,1,3.793017309,4yo,0.169925001
104,23,25,1.5,-1.833333333,0.166666667,0,0,13.51897263,4yo,0.120294234
104,25,23,-0.166666667,0.5,0.166666667,1,0,3.020963052,4yo,-0.120294234
104,32,8,-1.666666667,1.666666667,2,1,0,0.000302968,4yo,-2
